,source,target,value
6,010 - General Fund,Police,8615216
7,010 - General Fund,Fire,5948496
4,010 - General Fund,Administration,2542094
10,010 - General Fund,Parks,2161670
12,010 - General Fund,Recreation,2026743
11,010 - General Fund,Library,1868293
5,010 - General Fund,Facilities,1332312
3,010 - General Fund,City Attorney,1206490
15,010 - General Fund,Non-Departmental,1190816
1,010 - General Fund,City Manager's Office,803043
2,010 - General Fund,Municipal Court,770495
9,010 - General Fund,Cemetery,490889
13,010 - General Fund,Economic Development,413429
0,010 - General Fund,City Commission,205001
14,010 - General Fund,Sustainability,166883
8,010 - General Fund,Public Services/Streets,140331
