source,target,value
600 - Water Fund,Water utility operations,10467425
620 - Waste Water Fund,Sewer utility operations,8947694
010 - General Fund,Police department,8615216
010 - General Fund,Fire department,5948496
111 - Street Maintenance,Street maintenance,5192579
114 - Street Impact Fee,Street construction,5170475
720 - Health-Medical Insurance,Internal service,4820912
010 - General Fund,Parks & Recreation,4188413
630 - Waste Water Impact Fee,Sewer utility operations,4003461
640 - Solid Waste Fund,Garbage utility operations,3153054
103 - Health-Medical Insurance,Internal service,2653429
010 - General Fund,"Administration (finance, IT, HR)",2542094
610 - Water Impact Fee,Water utility operations,2115750
115 - Building Inspection Fund,Planning/building inspection,1978444
010 - General Fund,Library,1868293
500-566 - Construction Funds,Street construction,1688375
116 - TIFD Downtown Improvement,Economic development,1405488
670 - Storm Water Fund,Stormwater utility operations,1392494
010 - General Fund,Facilities,1332312
100 - Community Development/Planning,Planning/building inspection,1285872
710 - Vehicle Maintenance,Internal service,1248333
010 - General Fund,City Attorney,1206490
010 - General Fund,Other,1190816
641 - Landfill Closure Costs,Work at Story Mill landfill,1103000
304 - Bond S & I Parks & Open Space Bond,Parks & Recreation,1082738
141 - Street Arterial Construction,Street construction,1030000
143 - TIF N 7th Corridor,Economic development,905980
191 - Bozeman Tourism BID,Economic development,900000
650 - Parking Fund,Parking services,851048
010 - General Fund,City Manager's Office,803043
010 - General Fund,Municipal Court,770495
112 - Tree Maintenance,Forestry department,740223
110 - Gas Tax,Street maintenance,694500
010 - General Fund,Cemetery,490889
146 - 170;181;182;200-241 - Lighting Districts,Street lighting,441133
305 - 2007 Downtown TIF Bonds,Economic development,425488
010 - General Fund,Economic development,413429
310-447 - SID Funds,Street maintenance,390500
120 - Community Housing Fund,Affordable housing support,387400
303 - G.O. Refunding Series 2012,Other,276000
300 - SID Revolving Fund,Other,236756
125 - Drug Forfeiture Fund,Police department,213116
010 - General Fund,City Commission,205001
140 - Police Domestic Violence,Police department,200325
010 - General Fund,Sustainability programs,166883
176 - BID Downtown Improv Dist,Economic development,140800
010 - General Fund,Public Services/Streets,140331
174 - Victim/Witness Advocate,City Attorney,140000
175 - Senior Transportation,Other,88295
189 - Story Mansion Special Revenue,Parks & Recreation,44173
119 - Economic Development Loan,Economic development,31000
113 - Fire Impact Fees,Fire department,25000
138 - Law  & Justice Center,Police department,19125
123 - Big Sky Ec Dev Fund,Economic development,16500
144 - TIF NE Urban Renew al District,Economic development,10000
